"order_id","place_name_NL","place_name_FR","description"
0,"Abdijstraat","rue de l’abbaye","van boulevard van het slachthuis tot boulevard van ’t kasteel."
1,"Abeelstraat","rue du tremble","v. brabantdam t. zakkebandstr."
2,"Abrahamstraat","r. d’Abraham","van groot gewat t. meersteeg."
3,"Abricotstr.","r. de l’abricot","v. brugschesteenw. t. groendreef."
4,"Academiestraat","rue de l’académie","van augustijnenkaai tot s. margueritestraat."
5,"Achtergaalstraat","r. du rossignol","van brugschesteenweg tot groendreef."
6,"Achterlei","quai de l'arrière-lys","v. slijpstr. t. huidevetterskaai."
7,"Ajuinlei",,"ziet kraanlei."
8,"Ajuinstraat","rue aux oignons (nu gesloten)","van oude ajuinlei tot onderbergen."
9,"Akkerstraat",,"ziet rasphuisstraat."
10,"Akkergemplaats","place d’akkerg.","v. bijlokevest t. akkergemv."
11,"Akkergemstraat","rue d’akkergem","van coupure, linker oever, tot akkergemvest."
12,"Akkergemvest","rempart d’akkergem","van akkergemplaats tot nieuwe wandeling."
13,"Ambeeldstraat","rue de l'enclume","v. weversstraat t. vossenstr."
14,"Ankerstraat","rue de l’ancre","v. nieuwland tot dok."
15,"Annonciadestraat","rue des annonciades","van violettenlei tot twaalfkamerstraat en papegaaistraat."
16,"Antheunisstraat","r. Antheunis","v. rapestr. t. vijfwindgatstr."
17,"Antwerpschestraat",,"ziet dampoortstraat."
18,"Antwerpsche steenweg, b. de dampoort","chaussée d'Anvers","van de dampoortbrug naar sint-Amandsberg."
19,"Apostelhuizen",,"ziet apostelstraat."
20,"Apostelstraat","r. des apôtres","van kelderstr. t. zakkebandstr."
21,"Apotheekstraat","rue de la pharmacie","van bijlokestraat tot nieuw hospitaalstraat."
22,"Appelbrugstr.","r. du pont aux pommes","v. koornlei t breidelst."
23,"Appelstraat","r. de la pomme","v. roigemstraat t. nettenstraat."
24,"Arnoldusstraat","rue d'Arnold","v. blandinusstr. t. s. pieterspl."
25,"Arteveldeplaats","pl. d’Artevelde","v. statiestraat tot koepoortkaai en nieuwenboschstraat."
26,"Augustijnenkaai","q. des augustins","v. lievestr. t. molenaarstr."
27,"Auwegem doorgang","passage d’Auwegem ou de la préfecture","van gouvernementstraat tot nederscheldstraat."
28,"Baaisteeg","rue de la frise","van zandberg tot vlasmarkt."
29,"Bagattestraat","r. des baguettes","v. nederkouter tot s. pietersnieuwstraat."
30,"Ballestraat","rue des balles","van kraanlei tot haringsteeg."
31,"Balliustraat","rue du bailli","van kapellaanstr. tot kazematstr."
32,"Barrestraat","rue aux barres","v. spiegelstr t. de nederschelde."
33,"Batterijstraat, buiten de brugschepoort","rue de la batterie","van brugschesteenweg tot zuidkaai."
34,"Baudeloolei","fossé d'Othon ou de Baudeloo","van kleine botermerkt tot de krommewal."
35,"Baudeloostraat","rue d'Othon, du jardin des plantes ou Baudeloo","van Baudeloolei tot oudevest."
36,"Baviaanstraat","r. des babouins","v. zaaimanst. t. fabriekplaats."
37,"Beersteeg","rue aux ours","van goudstraat tot rivier achterlei."
38,"Beestenmarkt (nieuwe)","nouveau marché au bétail","tusschen boul. van ’t kasteel en ’t slachthuis."
39,"Beestenmarkt (oude)","ancien marché au bétail","van de oude ossenmarkt tot zilverstraat."
40,"Begijnendries","plaine ste Elisabeth","v. burgstr. t. rabotstr."
41,"Begijnengracht","fossé ste Elisabeth","van burgstraat tot brugschepoortstraat."
42,"Begijnenvest","rempart ou boulevard du béguinage","van plaisantevest tot brugschepoortstraat of contributiestraat."
43,"Belgradestraat","r. de belgrade","v. Brabantd. t. keizerkarelstr."
44,"Bellevuustraat","rue de Bellevue","van coupure, linker oever, tot akkergemstraat."
45,"Bellevuustraat te Ledeberg","rue de bellevue","van hundelgemschesteenweg tot aan de schelde."
46,"Benardstraat","rue Benard","van muinkkaai t. dierentuindreef."
47,"Bennesteeg","rue des vanniers","v. mageleinstr. tot veldstraat."
48,"Berouwstraat","rue du repentir","van chartreuzenstraat tot tusschen vogelenzangkaai en geuzenberg."
49,"Berriesteeg","rue de la civière ou de la source","van kalanderberg tot gouvernementstraat."
50,"Bessemstraat","rue des balais","van onderbergen t. struifsteeg."
51,"Bestormstraat","rue d'assaut","van onderbergen t. violettenlei."
52,"Biezenkapelstraatje","ruelle dite biezencapel","van regnessestraat tot nederpolder."
53,"Binnenweg","chemin de traverse","van hundelgemschesteenweg tot verder op den zelfden weg."
54,"Bisschopstraat","rue Bisschop","van hundelgemschen steenweg tot scheldekant."
55,"Blandinusstraat","r. Blandin","v. s. piet. vrouwstr. t. s. amandst."
56,"Blauwmeiskensstraat",,"ziet werregarenstraat."
57,"Bleekersreek","digue d. blanchisseurs","v. huidevettersk. t. dok."
58,"Blindeken","rue de l’aveugle","van comijnstraat t. brouwersst."
59,"Blindestraat","r. de l’aveugle","Ledeberg, v. kerkstr. t binnenw."
60,"Bloemsstraat","rue aux fleurs","van nederkouter t. paallepelstr."
61,"Boegsteeg","rue de la proue","van veldstraat t. predikheerenlei."
62,"Boeksteeg","impasse du livre","ziet boegsteeg."
63,"Bogaardstraat","r. du verger","v. hertogstr. t. roodekoningstr."
64,"Bonteleeuwstraat","rue du lion","v korte meire t. veldstraat."
65,"Boomstraat","r. de l’arbre","v. peterceliestr. t. brugschesteenw."
66,"Bornsteeg",,"ziet berriesteeg."
67,"Botermarkt","marché au beurre","v. hoogpoort t. mageleinstr."
68,"Botermansstr.","r. des beurriers","v. burgstraat t. meersteeg."
69,"Boulevard van akkergem",,"ziet akkergemvest."
70,"Boulevard van het begijnhof","boul. du béguinage","van plaisantevest tot contributiestraat of brugschepoortstraat."
71,"Boulevard van Brussel",,"ziet keizersvest."
72,"Boulevard der bijloke","boulevard de la byloque","van de nieuwe brug, bijlokestraat, tot de bijlokevest."
73,"Boulevard der citadel","boulevard de la citadelle","van kortrijkschestraat tot dekstraat."
74,"Boulevard Frère-Orban","boulevard Frère-Orban","van statieplaats tot s. Lievens-boulevard."
75,"Boulevard van het kasteel","boulevard du château","van boulevard Lousbergs tot hoek der schoolkaai."
76,"Boulevard Lousbergs","boulev. Lousbergs","voorheen visscherij, linker oever, van den slachthuisboulevard tot de nederschelde bij de keizerpoort."
77,"Boulevard van plaisance",,"ziet plaisantevest."
78,"Boulevard van s. Lieven","boulevard s. Liévin","van keizersvest tot s. Lievensvest."
79,"Boulevard van het slachthuis","boulevard de l’abattoir","van de Pauwbrug tot boulevard Lousbergs."
80,"Boulevardstraat, Ledeberg","rue du boulevard","van de bellevuestraat tot den ijzeren weg."
81,"Brabantstraat","rue de Brabant","v. vogelmarkt t. brabantdam."
82,"Braderijstr.","r. des rôtisseurs","van groot gewat tot lievekaai."
83,"Brandstraat","rue de l'incendie","van houtlei tot holstraat."
84,"Breidelsteeg","rue des selliers","v de appelbrug t. burgstraat."
85,"Briele",,"ziet fabriekplaats."
86,"Brouwersstraat","rue des brasseurs","v. ramstraat t. blindeken."
87,"Brugschepoortstraat","rue de la porte de Bruges","van hoogstraat en begijnengracht tot noordkaai-brugschepoort."
88,"Brugschesteenweg, buiten de brugschepoort","chaussée de Bruges","van phoenixstraat tot Mariakerke."
89,"Brusselsche boulevard",,"ziet keizersvest."
90,"Brusselschesteenweg","chaussée de Bruxelles","Ledeberg, van de keizerpoort tot Gentbrugge-Melle."
91,"Brusselschesteeg",,"ziet krevelsteeg."
92,"Brusselschestraat",,"ziet keizerstraat."
93,"Brusselschepoortvest",,"ziet keizersvest."
94,"Buiten muide","faubourg du sas","v. voormuide t. Meulestede."
95,"Buiten de heuvelpoort","faubourg de la porte de la colline","ziet s. Pieters-Aalst."
96,"Burgstraat","r. de Bruges","v. hoogezonnestr. t. begijnengracht."
97,"Bijlokestraat","rue de la byloque","v. coupure t. bijlokemeersch."
98,"Bijlokevest","rempart ou boulevard de la byloque","van coupure, linker oever, tot akkergemplaats."
99,"Bij het fort",,"ziet kazernvest of boulevard der citadel."
100,"Bij s. Baafs","cloître s. Bavon","van s. Janstraat tot s. Baafsplein en s. Baafsstraat."
101,"Bij s. Jacobs","cloître s. Jacques, place ou près s. Jacques","van kammersstraat tot steendam, langs beide kanten der s. Jacobskerk."
102,"Buiten de kortrijkschepoort","faub. de la porte de Courtrai","ziet s. Pieters-Aigem."
103,"Caleitjen",,"ziet kalkstraat, heuvelplein, enz."
104,"Capucienenham","hameau des capucins","van lange bogaardstraat tot apostelstraat."
105,"Capucienenstraat","rue des capucins","van brabantdam tot keizerkarelstraat."
106,"Casinoplaats","place du casino","van holstraat tot casinostraat."
107,"Casinostraat","rue du casino","van theresianenstr. tot casinopl."
108,"Casinosteeg","ruelle du casino","ziet nieuwe casinostraat."
109,"Catalognesstr.","r. de la catalogne","v. s. Janstr. t. koornmarkt."
110,"Cathelijnestraat","r. s. Catherine","v. goudstraat t gelukstraat."
111,"Cauderlierkaai","quai Cauderlier","ziet kuiperskaai."
112,"Cazematstr.","r. des casemattes","v. schoolstr. t. n. beestenm."
113,"Chartreuzenstraat","rue des chartreux","van kortschipgracht tot groot meerhem."
114,"Citadelstraat","r. de la citadelle","van bijlokebrug tot einde kortrijkschestraat."
115,"Colpaartsteeg","impasse Colpaert","op de coupure, linker oever, (zonder eind)."
116,"Comediestraat","rue du théâtre ou de la comédie","van kouter tot recollettenplein."
117,"Comijnstraat","rue du cumin","van den ram tot peperstraat."
118,"Conduitsteeg","rue du conduit","v. korte meire tot veldstraat."
119,"Contributiestraat","rue de la contribution","van brugschepoortstraat tot einde coupure, rechter oever."
120,"Corianderstraat","rue de la coriandre","van walpoortbrugstraat tot grooten huidevettershoek."
121,"Coupure, linker oever","coupure, rive gauche","van verlorenbroodstraat tot phoenixstraat (brugschepoort)."
122,"Coupure, rechter oever","coupure, rive droite","van lindelei tot contributiestraat."
123,"Coupuregang","passage de la coupure","van rasphuisstraat tot coupure, rechter oever."
124,"Cozijntjesstr.","r. des cousins","v. krommenesch t. mortierstr."
125,"Dampoortstraat","rue de la porte d’Anvers","van roodetorenkaai tot antwerpschensteenweg."
126,"Dekstraat","rue des couvreurs","v. s. amandstr. t. kazernstraat."
127,"Demildreef","avenue Demil","van hundelgemschesteenweg tot de schelde."
128,"Dendermondscheweg","chaussée de Termonde","van antwerpschesteenw. dampoort t. Oostacker- en voorts Destelberg."
129,"De Somerstraat, s. Amandsberg","rue de Somer","van antwerpschesteenweg tot papegaaistraat of oostackerstraat."
130,"De Vreese beluik","cité de Vreese","v. blandinusstr. t. rogierstr."
131,"Dikkeboomstraat",,"ziet kleine hospitaalstraat."
132,"Dierentuindreef","boulevard du jardin zoologique","van Lievenbauwensplaats tot s. Lievensvest."
133,"Dobbelhuizen",,"ziet chartreuzenstraat."
134,"Dok","dock, bassin du commerce ou quai du grand bassin","van voormuide tot dampoortstraat."
135,"Dokstraat","rue du dok","van wollestraat tot den dok."
136,"Dok linker oever","dok rive gauche","van buiten muide tot antwerpschesteenweg."
137,"Dok rechter oever","dok rive droite","ziet dok."
138,"Donkersteeg","rue du paradis","v. goudeleeuwpl. tot koornm."
139,"Donkerstraatje","rue obscure","v. vrijdagmarkt t. steurstraat."
140,"Doode lieve",,"ziet augustijnenkaai."
141,"Doorgangsteeg","r. traversière","v. bennesteeg t. voldersstraat."
142,"Doorgangstr.","rue traversière","Ledeberg, v. weldadigheidstr. tot kerkstraat."
143,"Doornstraat","r. de l’épine","v. krommenesch t. mortierstraat."
144,"Drapstraat","rue aux draps","van koornlei tot poel."
145,"Dries","le dries","Ledeberg, op het einde der driesstraat."
146,"Driesstraat","rue du dries","Ledeberg, van hundelgemschesteenweg tot den dries."
147,"Drongenhof","rue du bac","van oudburg tot langesteensstraat."
148,"Drongenschestraat of steenweg","rue ou chaussée de Tronchiennes","van roigemstraat tot Drongen."
149,"Druifsteeg","rue des raisins","v. vrijdagmarkt t. baudeloolei."
150,"Duivenstraatje","r. des pigeons","v. engelstraat t. donkerstraat."
151,"Duivelsteeg","rue du diable","van spiegelstraat tot herpelsteeg."
152,"Dweersstraatje",,"ziet doorgangsteeg."
153,"Dwersstraat","rue traversière","van muinkkaai t. dierentuindr."
154,"Eggermontstr.","rue Eggermont","Ledeberg, v. hundelgemschesteenweg tot kerkstraat."
155,"Einde weere",,"is einde akkergemvest, linker kant."
156,"Engelstraat","rue de l’ange","van vrijdagmarkt t. garenplaats."
157,"Engelandgat","r. d'Angleterre","v. s Michielspl. t. struifsteeg."
158,"Engelschenonnenstraat","r. des nonnes anglaises","v. s. pietersnieuwstraat tot de opperschelde (muinkkaai)."
159,"Eliseesche velden","champs élysées","v. noordk. t. palingshuiz."
160,"Eksterstraat","rue de la pie","v. brugschesteenw. t. abricotstr."
161,"Fabriekplaats","place des fabriques","van s. Margueritestraat tot palingstraat."
162,"Finnesdreef","avenue de fiennes","v. koornlei t. huurdochterstr."
163,"Fiévéstraat","rue fiévé","van nieuwland tot dok."
164,"Filledieuzenham",,"ziet roodelijvekensstraat."
165,"Florbertstraat","rue florbert","v. s. pietersplein t. s. amandstr."
166,"Fruitmarkt",,"ziet graslei."
167,"Galerij Vanderdonckt",,"ziet Vanderdonckt's doorgang."
168,"Galgenbergstraat","r. du calvaire","v. holstraat t. 12kamersstr."
169,"Garenmarkt","marché au fil","van waaistraat tot speldenstraat."
170,"Geiteensstraat","r. de la chèvre","v. drongenscheweg t. roigemstr."
171,"Geldmunt","r. de la monnaie","v. veerleplaats t. langesteenstr."
172,"Gelukstraat","r. du bonheur","van baudeloolei tot oudevest."
173,"Gerardstraat","rue Gérard","s. amandsberg, van antwerpschesteenweg tot meerschkantstraat."
174,"Gerechtshofplaats",,"ziet recollettenplein."
175,"Geuzenberg of hoek","montagne des infidèles","van vogelenzangkaai tot einde groot meerhem."
176,"Gewat",,"ziet groot gewat en klein gewat."
177,"Gildestraat","r. de la confrérie","van s. Jacobsnieuwstraat tot kalvermarkt."
178,"Godshuishammeken","rue de la Maison-Dieu","van slijpstraat tot huidevetterken en Vancanegemsstraat."
179,"Goudstraat","rue d'or","v. Baudeloolei tot minnenmeersch."
180,"Goudenleeuwplaats","place du lion d'or","van korteridderstraat en pouillemarkt tot klein turkijen."
181,"Gouvernementsvaat","rue du gouvernement, de la préfecture, ou du haut-escaut","van bij s. Baafs tot kortedagsteeg."
182,"Graaf van vlaanderenstraat",,"ziet statieplaats."
183,"Graslei","quai aux herbes","van grasbrug tot predikheerenlei."
184,"Gravenkasteel","château des comtes","op den hoek van de veerleplaats en van de geldmunt, maakt deel der veerleplaats."
185,"Groendreef","allée-verte","van zuidkaai tot Mariakerke."
186,"Groendreefsteeg","impasse de l’allée-verte","op de groendreef."
187,"Groenstraat","rue verte","v. huidevetterskaai t. Vancanegemstr."
188,"Groenenbriele",,"ziet fabriekplaats."
189,"Groenselmarkt","marché aux légumes ou aux herbes","van hoogpoort tot kortemunt, pensmarkt en vleeschhuisbrug."
190,"Groot gewat","avenue de la cour","v. burgstraat t prinsenhof."
191,"Groote huidevettershoek","grand toquet","van walpoortbrugstraat tot corianderstraat."
192,"Groot kanonplaats","place du grand canon","van langemunt tot vrijdagmarkt."
193,"Groot meerhem","quai du grand marais","van chartreuzenstraat tot klein meerhem."
194,"Gruisberg","rue des décombres","v. reep t. langebogaardstraat."
195,"Ham","rue du jambon","van roodetorenkaai tot bleekersreek."
196,"Hamerstraat","rue du marteau","v. groendreef t kiekenstraat."
197,"Haringsteeg","rue du hareng","van geldmunt tot hertogstraat."
198,"Haspelstraat","rue du dévidoir","v. roigemstraat t. ambeeldstr."
199,"Hazewindstraat","rue du lévrier","van koornmarkt tot graslei."
200,"Hebbrechtstraat",,"ziet schreiboomstraat."
201,"Heiliggeeststraat","r. du s. esprit","v. catalognesstr. t. bennesteeg."
202,"Heilligkerststraat",,"ziet s. salvatorstraat."
203,"Heilig sakramentstraat","rue du s. sacrement","van korte meire tot veldstraat."
204,"Hel","de","maakt deel van het nieuwland."
205,"Hemelrijkstraat",,"ziet donkersteeg."
206,"Herderstraat","r. du berger","van werkhuisstraat tot vlasstraat."
207,"Herodeszak","cul de sac d’Hérode","in de zaaimansstraat, rechter kant."
208,"Herpelsteeg","r. du canard","v. ursulinestr. t s. jacobsnieuwstr."
209,"Hertstraat","rue du cerf","van muinkkaai tot dwarsstraat."
210,"Hertogstraat","rue ducale","van kraanlei tot plottersgracht."
211,"Heuvelplein","place de la colline","v. s. Huibrechtstr. r. kalkstr."
212,"Heuvelstraat","r. de la colline","v. s. Amandstr. t. heuvelpoort."
213,"Heuvelvest","remp. de la colline","v. heuvelpoort t. de schelde."
214,"Hoefijzerstraat","rue du fer à cheval","van langemunt, links, tot de rivier (kraanlei)."
215,"Hoefijzerstr.","r. du fer à cheval","Ledeberg, v. kl. binnenweg tot doorgangstraat."
216,"Hofsteeg",,"ziet 2de prinsenhofzaksteeg."
217,"Hofstraat","rue du jardin","van muinkkaai tot dierentuindreef."
218,"Hofstraat, Ledeberg,","rue du jardin","van boulevardstraat tot bellevuestraat."
219,"Holstraat","rue de la caverne","v. hoogstr. t. galgenbergstr."
220,"Hoofdkerkstr.","r. de la cathédr.","v. s. Baafstr. t. s. Baafsplein."
221,"Hooge Scheldestr.","rue du haut escaut","ziet gouvernementstr."
222,"Hoogezonnestraat","rue haute du soleil","van veerleplaats tot burgstraat (onthoofdbrug)."
223,"Hoogpoortstraat","rue hautport","v. groenselm. t. nederpolder."
224,"Hoogpoortstraatje",,"ziet werregarenstraat."
225,"Hoogstraat","rue haute","van poel tot brugschepoortstraat."
226,"Hoornstraat","rue de la corne","v. veldstraat t. predikheerenbrug."
227,"Hooie","place des prés","van Vanderbruggensteeg) tot Arteveldeplein."
228,"Hooiaard","place aux foins","van koornmarkt tot pensmarkt en graslei."
229,"Hospiciestraat","rue de l’hospice","Ledeberg, van doorgangstr. tot snottemuilstraat."
230,"Hospitaalstr.","r. de l’hôpital","v. akkergemst. t. n. wandeling."
231,"Hospitaalstraatje",,"ziet kleine hospitaalstraat."
232,"Houtbriel","rue du chantier","van oude schaapmarkt tot kalvermarkt."
233,"Houtlei","quai aux bois","van torenbrug, hoogst., t. violettenlei."
234,"Hoveniersberg","montagne des jardiniers","van hospitaalstraat tot akkergemvest."
235,"Hoverniersstraat","rue des jardiniers","van hospitaalstraat tot akkergemvest."
236,"Huurdochterstraat","rue des servantes","van koornlei tot s. Michielsplein."
237,"Huidevetterken","rue des tanneurs","v. slijpstr. t. nieuwland en Godshuishammeken."
238,"Huidevetterskaai","quai des tanneurs","v. achterlei t. nieuwland."
239,"Huidevettershoek",,"zie groote en kleine huidevettershoek."
240,"Hundelgemschesteenweg","chaussée d’Hundelgem","van s. lievenspoort tot Meirelbeke."
241,"Jerusalemsstraat",,"zie s. Barbarastraat."
242,"Jesuitenstraat",,"ziet voldersstraat."
243,"Jodenstr.","rue des juifs","v. gouvernementstr. t. nederscheldst."
244,"Kaatsplaats","place du jeu de paume","van drongenhof tot kortekalversteeg."
245,"Kalanderberg","place de la calandre","van kalanderstraat tot kouterdreef en lange meire."
246,"Kalanderstraat","rue de la calandre","van mageleinstraat tot kalanderberg."
247,"Kalkstraat","rue de la chaux","v. nederkouter t. s. huibrechtstr."
248,"Kaleitje",,"zie kalkstraat, heuvelplein, enz."
249,"Kalvermarkt","marché aux veaux","v. gildestr. t. roodetorenst."
250,"Kammersst.","r. des peignes","v. vrijdagmarkt t. koningstraat."
251,"Kanonikstraat","rue des chanoines","van kortrijkschestraat tot kazernstraat."
252,"Kanonstraat",,"ziet waterstraatje."
253,"Kapellaanstraat","rue du chapelain","van de prooststraat tot de balliustraat."
254,"Kapellestraat","r. de la chapelle","v. pekelharing t. s. agneetst."
255,"Karrestraat","r. des charrettes","v. ijperstraat t. stoppelstraat."
256,"Kasteelkaai","quai du château","v. roodetorenk. t. dampoortstr."
257,"Kasteelplein",,"ziet spanjaardskasteel."
258,"Kasteelstraat of kasteelbrugstraat","r. du château","v. leopoldstraat t. kasteelkaai."
259,"Kasteelvest",,"ziet boulevard van het kasteel."
260,"Kattenberg",,"ziet kanonikstraat."
261,"Kazernplaats","place d. casern.","v. kanonnikstraat t. kazernpl."
262,"Kazernstraat","rue des casernes","van s. Amandstraat tot kazernplaats en dekstraat."
263,"Kazernvest","rempart des casernes","van kortrijkschestraat tot kazernstraat."
264,"Keizerstraat","rue de Bruxelles ou de l'empereur","van lange violettestraat tot de keizerpoort (Ledeberg)."
265,"Keizerkarelstr.","rue Charles V","v. nieuwbrug t. Arteveldepl."
266,"Keizersdreef",,"ziet groot gewat."
267,"Keizersvest","rempart de la porte de Bruxelles","van visscherij tot s. Lievens-boulevard."
268,"Kelderstraat","r. de la cave","v. krommenesch t. apostelstraat."
269,"Kerkhofsstraat","r. du cimetière","in de kerkstr. brugschepoort."
270,"Kerkstraat, brugschepoort","rue de l’église","van noordkaai tot verbindingsvaart en van dezelve vaart tot Wondelgem (boerenkerkstraat)."
271,"Kerkstraat, Ledeberg","rue de l’église","van hundelgemschesteenweg tot Eggermontstraat."
272,"Kerkstraat, Gentbrugge","rue de l’église","van posthoornstr.,"
273,"Ledeberg",,"naar de gemeente Gentbrugge."
274,"Kerrestraat",,"ziet karrestraat."
275,"Ketelplein","plaine de chaudronniers ou des bastions","van begin nederkouter tot de lei."
276,"Ketelstraatje",,"ziet stadhuissteeg."
