"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","map_number"
0,"slachthuislaan.","Abattoir, boul. de l'","q. de l'école — boul. Lousbergs. (",7,1," 51-61"
1,"slachthuisstr.","Abattoir, r. de l'","boul. Lousbergs — nouv. marché au bétail. (",7,1,62
2,"abdijstr.","Abbaye, r. de l'","b. de l’abattoir — nouv. marché au bétail. (",7,1,62
3,"abeelbroekstr.","Abeelbroek, r.","ch. d'Anvers — Destelbergen. Mont-St Amand.",,,
5,"biestr.","Abeille, r. de l'","r. du pays de Waes — r. d’Oostacker. (",7,1,
6,"Abrahamstr.","Abraham, r. d'","avenue de la cour — r. 53 du lac. (",2,3,48
7,"Abrikoosstr.","Abricot, r. de l'","avenue de la libération — allée verte. (",6,3,35
8,"schuddevischstraatje","Abri-poisson, ruelle de l'","marché aux légumes, entre les nos 14 et 15. (",1,2,49
9,"acaciastr.","Acacia, r. de l'","ch. de Bruges — r. du marron. (",6,3,35
10,"academiestr.","Académie, r. de l'","quai des augustins — r. Ste Marguerite. (",3,3," 38-39"
10,"aeroplaanlaan"," Aéroplane, aven. de l' ","rue du Paon jusqu’au nouveau bassin. (",8,1,"4-12"
11,"Afrikalaan","Afrique, boul. d'","sur l’assiette de l’ancien chemin de fer derrière le petit dock. (",8,1," 22-32"
12,"Afsnéstr.","Afsné, r. d'","pl. Marie-Henriette — quai d'Afsné.",11,2,"94-96"
13,"Afsnékaai","Afsné, quai d'","rue d'Afsné — 2e viaduc (le long de la Lys)",11,2," 94-104"
14,"lammerstr.","Agneau, r. de l'","r. neuve St Pierre — pl. de France (",5,2,70
15,"arendstraat","Aigle, rue de l'","quai des moines — rue du cerf. (",4,1," 79-89"
16,"Akkergemlaan","Akkergem, boul. d'","boulevard des martyrs — pont d'Akkergem.",11,2," 55-66"
17,"Akkergemstr.","Akkergem, r. d'","coupure, r. g. — b. d'Akkergem.",11,2," 56-56"
18,"Albertlaan","Albert, boul.","ch. de Courtrai — boul. Britannique","9 et 11",2," 86-97"
20,"Albertkaai","Albert, quai","pont Albert — rue d'Afsné",11,2," 85-86"
21,"groendreef","Allée-verte","quai du sud — Mariakerke. (",6,3,25
22,"leeuwerikstr.","Alouette, r. de l'","r. du pont de malte — r. des renardeaux. (",9,2,106
23,"Amerikalaan","Amérique, boul. d'","le long du chemin de fer de l'Etat, aboutit de part et d'autre au boul. du petit dock. (",8,1," 22-32"
24,"ankerstr.","Ancre, r. de l'","r. des prêtres — r. des distillateurs. (",8,1,31
25,"ezelstr.","Ane, r. de l'","vieille barrière — Oostacker Mont-St Amand.",,,
26,"engelstr.","Ange, r. de l'","m. du vendredi — place Edouard Anseele (",1,1,50
27,"engelstr.","Ange, r. de l'","r. du moulin — ch. de Termonde. (Mont-St Amand). ",,,"54-64"
28,"Engelandgat","Angleterre, r. d'","pl. St Michel — r. des sœurs noires. (",2,2,58
29,"palingshuizen","Anguilles, maisons aux","boul. de l'industrie — Mariakerke. ",10,3," 15-25"
30,"palingstr.","Anguilles, r. aux","pl. des fabriques — r. courte des bâteaux. (",3,3,39
31,"annonciadenstr.","Annonciades, r. des","vieux q. des violettes — r. des douze chambres et rue du perroquet. (",2,2,68
32,"Antheunisstr.","Antheunis, r.","r. des navets — r. des cinq vannes. (",4,1,80
33,"Antwerpschesteenw.","Anvers, chaus. d'","place d'Anvers — ch. d'Anvers (Mont-St Amand) (",7,1,43
34,"Antwerpschestw.","Anvers, chaus. d'","chaus. d'Anvers (Gand) — Destelbergen. (Mont-St Amand). ",,,"44-53"
35,"Antwerpen plaats","Anvers, place d'","entre le pont de la porte d'Anvers, la chaussée d'Anvers et la place du Pays de Waes. (",7,1,52
36,,"r. de la porte d'Anvers","Voir porte d'Anvers, r. de la.",,,
37,"apostelhuizen","Apôtres, maisons des","r. Frans Ackerman — r. aux liens. (",4,1," 61-71"
38,"kruisboogstr.","Arbalète, r. de l'","r. d’Akkergem — r. du bluet. ",11,2,49
39,"boomstr.","Arbre, r. de l'","r. de chèvre — boul. de Rooigem. (",6,3,45
40,"bouwmeestersstr.","Architectes, r. des","r. des entrepreneurs — r. de Gentbrugge, Mont-St-Amand ",,,74
41,"schaliestr.","Ardoise, r de l'","champs-élysées — r. de la caille.",10,3,"26-36"
42,"wilverstr.","Argent, r. d'","vieux mar. au bétail — mar. aux veaux. (",1,1," 51-61"
43,"korte zilverstr.","Argent, r courte d'","q. de la Liève — cour du prince. (",2,3,38
44,"leemstr.","Argile, r. d'","r. des meuniers, Ledeberg — avant-pré, Gentbrugge.",,,
45,"kouter","Armes, place d'","marché aux oiseaux — r. du théâtre et r. du soleil. (",1,2,69
46,"koutersteeg","Armes, ruelle de la pl. d'","r. aux vaches — pl. d'armes. (",1,2,70
47,"kouterdreef","Armes, aven. de la place d'","place de la calandre — place d'armes. (",1,2," 59-69"
48,"Arnoldstraat","Arnold, r.","r. blandin — pl. S. Pierre (",5,2,79
49,"achterlei","Arrière-Lys, quai de l'","pl. de l'écluse — quai des tanneurs. (",3,1,40
50,"achtermuide","Arrière-muide","ch. de meulestede — chemin de fer. (",8,1,11
51,"achtervisscherij","Arrière Pêcherie","du commencement de la pêcherie, le long de l'eau. (",4,1," 61 91"
52,"achterdries","Arrière-pré","avant-pré — r. du bois. Gentbr.",,,
53,"achterstr.","Arrière-rue","entre les nos 116 et 282 de la ch. d'Anvers (Mont-St-Amand).",,,44
54,"arsenaalstr.","Arsenal, r. de l'","r longue — r. Vanden Hecke (Ledeberg)",,,102
55,"arsenaalstr.","Arsenal, r. de l'","r. de la bruyère — rue St Genois Gentbrugge",,,
55,"kunststr.","Art, r. de l'","chauss. de Termonde — r. de l'industrie (Mont-St Amand). ",,,"63-73"
56,,"place d'Artevelde","Voir Van Artevelde, pl.",,,
57,"Arthur Latourstr.","Arthur Latour, r.","r. du Cornet de poste — r. Van Geert, Ledeberg",,,92
58,"kunstlaan","Arts, av. des","plaine St Pierre — boul.",,,
59,,"Charles de Kerckhove. (",,5,2,88
60,"bestormstr.","Assaut, r. d'","r. de la vallée — vieux q. des violettes. (",2,2,58
61,"werkhuisstr.","Atelier, r. de l'","ch de Tronchiennes — q. de la Lys. (",6,3,46
62,"Oudenaardschesteenw.","Audenarde, chauss. d'","ch. de Courtrai — Zwynaerde. (",9,2," 105-106"
63,"augustijnenkaai","Augustins, quai des","r. de la Liève — r. de l’académie. (",3,3,8
64,"elsstr.","Aulne, r. de l'","av. du rabot — boul. du gazomètre ",10,3,27
65,"herfststr.","Automne, r. de l'","r. du strop — ch. d'Ottergem. (",9,2,9
66,"oostenrijkersstr.","Autrichiens, r. des","r. du prévôt — nouv. marché au bétail (",7,1,62
67,"voorhavenlaan","Avant-port, avenue de l'","chaussée de Meulestede — r. de Meulestede. (",8,1,10
68,"voorhavenplaats","Avant-port, place de l'","r. de NewYork — av. de l’avant-port. (",8,1,10
69,"voordries","Avant-pré","r. d’argile — r. du bois.",,,
70,"toekomststr.","Gentbrugge. Avenir, r. de l'","boul. Lousbergs — r. de l’avenir (Mont-St Amand). (",7,1," 72-73"
71,"toekomststr.","Avenir, r. de l'","r. de l’avenir (Gand) — ch. de Termonde (Mont-St Amand). ",,,"64-73"
72,"blindeken","Aveugle, r. de l'","r. du cumin — r. des brasseurs. (",2,2,48
73,"riemstraat","Aviron, rue de l'","quai Albert — rue du Patijntje.",11,2,85
74,"haverstr.","Avoine, r. de l'","r. des tilleuls — boul. de l'industrie.",10,3,26
75,"azaleastr.","Azalée, r. de l'","avenue de la délivrance r. de l'olive. (",6,3,25
76,"azaleastr.","Azalée, r. de l'","r. arrière — r. de l'école (Mont-St Amand). ",,,"44-54"
77,"baviaanstr.","Badouin, r. du","r. des semeurs — place des fabriques. (",3,3,39
78,"veerdamstr. of drongenhof","Bac, r. du","vieux bourg — r. longue des pierres. (",3,3,39
79,"bagattenstr.","Baguettes, r. des","r. basse des champs — r. neuve St Pierre. (",5,2," 69-70"
80,"baljuwstr.","Bailli, r. du","r. du chapelain — r. des casemattes. (",7,1,62
81,"bezemsstr.","Balais, r. des","r. de la vallée — r. de l'omelette. (",2,2,58
82,"kogelstr.","Balle, r. de la","ch. d'Anvers — r. de la bienfaisance. (",7,1," 43-53"
83,"ballenstr.","Balles, r. des","q. de la grue — r. du hareng. (",3,3,49
84,"Luchtbalstr.","Ballon, r. du","r. de la Mouette — boul.",,,
85,,"Port-Arthur. (S.",,"M 3",1,". 3"
86,"barenstr.","Barres, r. aux","r. du miroir — quai de l'évêché. (",1,1,60
87,"baliestr.","Barrière, r. de la","ch. de Courtrai — r. de la prairie. (",9,2,87
88,"ancienne","Barrière","(oude barrière) ch. d'Anvers — limite de Mont-St Amand et Destelbergen.",,,
89,"reep","Bas-Escaut, quai du","place Lievin Bauwens — r. Charles-Quint. (",4,1," 60-61"
90,"nederscheldestr.","Bas-Escaut, r. du","r. de Brabant — r. des juifs. (",1,2,70
91,"nederpolder","Bas-poldre r. du","r. haut port — q. de l'évêché. (",1,"2 et 1",60
92,"onderstr.","Basse, r.","r. longue de la monnaie — r. royale.",1,1," 49-50"
93,"bassijnplaats","Bassin, place du","— r. du bassin — quai de l'Escaut. (Gendbrugge).",,,83
94,"bassijnstr.","Bassin, r. du","r. de l'église — place du bassin. (Gendbrugge).",,,83
95,"nieuw bassijn","Bassin, nouveau","r. du paon — quai de meulestede",,,"3-11"
96,"Bastionstr.","Bastion, r. du","quai du château — r. d'Anvers. (",7,1,52
97,"korte schipgracht","Bateaux, r. courte des","r. des semeurs — boul. des chartreux. (",3,3,39
98,"lange schipgracht","Bateaux, r. longue des","r. longue des pierres — r. des semeurs. (",3,3,39
99,"batterijstr.","Batterie, r. de la","av. de la libération — q. du sud. (",6,3,36
100,"Baudeloostr.","Baudeloo, r. de","marché du vendredi — quai de Baudeloo (",1,1," 40-50"
101,"baudelookaai","Baudeloo, quai","Pont St-Georges — Pont du Pré d'amour. (",1,1," 41-51"
102,"Boudewijnstr.","Baudouin, r.","pl. Marie-Henriette — r. de la prairie.",11,2,96
102,"spadestr.","Béche, r. de la","r. de la voile — r. de la charrue. (",8,1,11
103,"Belgradestr.","Belgrade, r. de","digue de Brabant — r. Charles-Quint. (",4,1," 61-71 "
103,"ram","Bélier, r. du ","r. haute — r. de Bruges. (",2,3,"48-58"
104,"bellevuestr.","Bellevue, r. de","coupure, r. g. — r. d'Akkergem. ",11,2,66
105,"bellevuestr.","Bellevue, r. de","ch. d’Hundelgem — l'Escaut. (Ledeberg). ",,,"100-101"
106,"kl. bellevuestr.","Bellevue, petite r. de","coupure, r. g — boul. d'Akkergem.",11,2,66
106," Benardstr.","Bénard, r.","pont des moines — boul. Gustave Callier. (",4,1," 89-90"
108,"Benedenstr.","Beneden, r.","dans la rue du Seigle ",10,3," 26-27"
109,"herderstr.","Berger, r. du","ch. de Tronchiennes — r. du lin. (",6,3,45
110,"Bernaard Spaelaan","Bernard Spae, aven.","Coupure (rive gauche) — boul. des martyrs.",11,2," 66-67 "
110,"nieuwe veemarkt","Bétail, nouv. marché au ","boul. du château — abattoir. (",,,
111,"beetworteelstr.","Betterave, r. de la","r. de l'œillet — r. de la limite. ",10,3,8
112,"botermarkt","Beurre, marché au","r. haut-port — place Emile Braun et pl. S. Bavon. (",1,2," 59-69"
113,"kleine botermarkt","Beurre, petit marché au","cloître St Jacques — fossé d'Othon. (",1,1,50
114,"botermansstr.","Beurriers, r. des","r. de Bruges — r. du lac. (",2,3,48
115,"bibliotheekstr.","Bibliothêque, rue de la","r. S. Georges — quai Baudeloo. (",1,1,50
116,"weldadigheidstr.","Bienfaisance, r. de la","r. de la balle — rue de la bienfaisance (Mont-St Amand). (",7,1,43
117,"weldadigheidstr.","Bienfaisance, r. de la","r. de la bienfaisance (Gand) — r. de la prairie (Mont-St Amand)",,,43
118,"weldadigheidstr.","Bienfaisance, r. de la","ch. d’Hundelgem — r. du maure (Ledeberg).",,,112
119,"bijlokekaai","Biloque, quai de la","coupure (rive gauche) — boulev. des hospices. ",11,2," 78-87"
120,"bijlokevest","Biloque, rempart de la","square de la hiloque — boul. des martyrs.",11,2," 67-76"
121,"bijlokestr.","Bloque, r. de la","remp. de la biloque — coupure.",11,2,76
122,"bijlokestr.","Biloque, r. de la","ch. de Termonde — Destelbergen.",,,
123,,"Mont-St-Amand.",,,,
124,"bijlokenhof","Biloque, square de la","r. des hospices — boul. des martyrs.",11,2,76
125,"bleekerijstr.","Blanchisserie, r. de la","digue des blanchisseurs — r. du jambon. (",8,1," 40-41"
126,"bleekersdijk","Blanchisseurs, digue des","r. terreneuve — r. du jambon. (",8,1," 40-51"
127,"blandinusstr.","Blandin, r.","r. neuve St Pierre — r.",,,
128,,"St Amand. (",,5,2," 78-79"
129,"Blankenbergestr.","Blankenberghe, r. de","av. Albert — av. Elisabeth. (",9,2," 96-97"
130,"koornlei","Blé, quai au","pont aux herbes — r. des servantes et av. Fiennes (",2,2," 49-59"
131,,"Block, r.","voir Edmond Block.",,,
132,"koornbloemstr.","Bluet, r. du","r. d'Akkergem — r. de la flèche. ",11,2,56
133,"ossenstr.","Boeufs, r. des","r. de l’abattoir — boul. du château. (",7,1," 62-72"
134,"oude houtlei","Bois, vieux quai au","r. haute — vieux q. des violettes. (",2,2,58
135,"boschstr.","Bois, r. du","arrièré-pré — pont d’Heusden.",,,
136,"Bomastr.","Gendbrugge. Boma, r. de","r. terre-neuve — r. du jambon (",8,1,
137,"Bombaystr.","Bombay, r. de","r. de Londres — av. de l’avant-port. (",8,1,10
138,"bommelstr.","Bondon, r. du","ch. d'Ottergem — boul du Strop. (",9,2," 98 99"
139,"gelukstr.","Bonheur, r. du","fossé d'Othon — vieux rempart. (",1,1," 40-50"
140,"goedelevenstr.","Bonne-vie, r. de la","ch. d'Anvers — r. de l'eau.",,,
141,"Borluutstr.","Mont-St. Amand Borluut, r.","r. haut port — cloître St- Jacques. (",1,1," 50-60"
142,"Boterdaelebeluik","Boterdale, cité","remp. de la biloque — boul. des hospices",11,2,76
143,"kl. vleeschhuissteeg","Boucherie, ruelle de la petite","place d'armes — r. courte du jour. (",1,2,70
144,"schildstr.","Bouclier, r. du","allée-verte — avenue de la libération. (",6,3," 35-36"
145,,"Bourg, r. du. ","Voir Bruges, r. de ou vieux-bourg",,,
145,"winkelstr.","Boutiques, r. des","r. de Flandre — r. l. du verger. (",4,1,60
146,"brabantstr.","Brabant, r. de","mar. aux oiseaux — digue de brabant. (",1,2,70
147,"brabantdam","Brabant, digue de","pl. Hippolite Lippens — place Van Artevelde. (",4,1," 70-71"
148,"Braeckmanstr.","Braeckman, r.","arrière-rue — rue de l'azalée (Mont-St Amand).",,,44
149,"Mont-St Amand","Braeckmansmolenslag, chaussée d'Anvers au n° 265",,,,
150,"brouwersstr.","Brasseurs, r. des","r. du bélier — r. de l’aveugle. (",2,3,48
151,"Brederodestr.","Bréderode, r.","ch. de Courtrai (4e r. à gauche) — boul. Léopold. (",9,2,97
152,"Britannielaan","Britannique, boul.","boul. des Hospices — pont Albert.","9|11",2," 76-86"
153,"snoekstr.","Brochet, r. du","r. de l’avenir — boul de l'Escaut. (",7,1," 73-82"
154,"snoekstr.","Brochet, r. du","pl. de l’église — r. de la chapelle.",,,
155,"burgstr.","Gendbrugge Bruges, r. de","r. haute du soleil — fossé St Elisabeth. (",2,3,48
156,"Brugschensteenw.","Bruges, chauss. de","avenue de la libération — Mariakerke. (",6,3," 25 36"
157,"Bruneaustr.","Bruges, r. de la porte de. Voir porte de Bruges, r. de la Bruneau, r.","r. d’Oostacker — r. haute. (Mont-St Amand).",,,53
158,"Brusselschelaan","Bruxelles, boul. de","r. de Bruxelles — fin boul. Frère-Orban. (",4,1," 91-101"
159,"Brusselschestr.","Bruxelles, r. de","r. l. des violettes — ch de Bruxelles (Ledeb.). (",4,1," 92 93"
160,"Brusselschestw.","Bruxelles, ch. de","porte de Bruxelles — ch. de Bruxelles (Gentbr.). Ledeberg. ",,,"91-103"
161,"Brusselschesteenw.","Bruxelles, chauss. de","ch. de Bruxelles (Ledeb.) — Melle. Gendbrugge.",,,13
162,"oude brusselsche weg","Bruxelles, vieux chem. de","r. du cornet de poste — r. maigre. (Gendbr.) ",,,"92-93"
163,"oude brusselsche weg","Bruxelles, vieux chemin de","r. du cornet de poste — r. de l'école. (Ledeb.)",,,"92-93"
164,"heidestr.","Bruyère, r. de la","r. St Genois — r. de Gontrode.",,,
165,"kwakkelst.","Gendbrugge. Caille, r. de la","r. de l'église — r. de la tuile.",10,3,26
166,"kalanderberg","Calandre, place de la","r. de la calandre — aven. de la place d'armes. (",1,2,60
167,"kalanderstr.","Calandre, r. de la","r. magelein — place de la calandre. (",1,2," 59-60"
168,"galgenbergstr.","Calvaire, r. du","r. de la caverne — r. des 12 chambres. (",2,2," 57-67"
169,"cameliastr.","Camelia, r. du","ch. de Termonde — r. du nouv. béguinage. (",7,1," 53-63"
170,"vaartstr.","Canal, r. du","r. du jambon — dock. (",8,1," 41-42"
171,"herpelsteeg","Canard, r. du","r. des ursulines — r. neuve St Jacques. (",1,1,70
172,"grand","Canon","pl. du (groot kanonpl.) r. l. de la monnaie — marché du vendredi. (",1,1,49
173,"kapucijnenstr.","Capucins, r. des","digue de brabant r. Charles-Quint. (",4,1,71
174,"kapucijnenham","Capucins, hameau des","r. Charles- quint — r. des apôtres. (",4,1,61
175,"kaarderijstr.","Carderie, r. de la","ch. de Tronchiennes — quai de la Lys. (",6,3,45
176,"karpelstr.","Carpe, r. de la","r. de l’avenir — boul. de l'Escaut. (",7,1," 72-82"
177,"kazemattenstr.","Casemattes, r. des","q. de l'école — nouv. marché au bétail. (",7,1," 52 62"
178,"korte kazernenstraat","Casernes, r. courte des","r. St Amand — r. Jordaens. (",5,2," 78 88"
180,"lange kazernenstr.","Casernes, r. longue des","r. Metdepenningen — boul. Charles de Kerchove. (",5,2,88
181,"kazernstr.","Casernes, r. des","r. longue — r. Vandenhecke. (Ledeberg). ",,,102
182,"nieuwe casinostr.","Casino, r. neuve du","r. des douze chambres — place du casino. (",2,2,57
183,"casinoplaats","Casino, place du","r. de la caverne — r. du casino. (",2,2,57
184,"casinostr.","Casino, r. du","r. des thérésiennes — place du casino. (",2,2,57
185,"catalognestr.","Catalogne, r. de la","place Emile Braun — mar. aux grains. (",1,2,59
186,"hoofdkerkstr.","Cathédrale, r. de la","r. St Bavon — place de l'évêché. (",1,2,60
187,"holstr.","Caverne, r. de la","r. haute — r. du calvaire. (",2,2,57
187,"cederstr.","Cèdre, r. du ","r. du sapin — r. du marron. (",6,3,35
188,"hertstr.","Cerf, r. du","quai des moines — r. bénard (",5,1," 79-89 "
189,"kriekerijstr.","Cérisaie, r. de la ","r. des meuniers — r. Ste Marguerite. (",3,3,38
190,"kouterstr.","Champ, r. du","pl. de l’église — l'Escaut.",,,
191,"k. veldstr.","Gendbrugge. Champs, r. c. des","r. Vande Velde — r. des champs. Gendbrugge.",,,103
193,"veldstr.","Champs, r. des","marché aux grains — place du commerce. (",1,2," 59-69"
194,"nederkouter","Champs, r. basse des","pont des chaudronniers — r. de Courtrai. (",5,2," 69-70"
195,"kouterstr.","Champs, r. des","r. du moulin — ch. de Termonde. (Mont-St Amand).",,,63
196,"veldstr.","Champs, r. des","r. du maure — r. des remparts. Gendbrugge. ",,,"102-103"
197,"eliseeschevelden","Champs-Elysées","q. du nord — boulev. du gazomètre.",10,3," 26-36"
198,"eliseescheveldenstr.","Champs-Elysées, r. des","r. de l'église — Champs-Elysées.",10,3,36
199,"kanunnikstr.","Chanoines, r. des","r. de Courtrai — r.",,,
200,,"Metdepenningen. (",,5,2," 78-88"
201,"houtbriel","Chantier, r. du","vieux mar. aux moutons — mar. aux veaux. (",1,1," 50-51"
202,"kapelaanstr.","Chapelain, r. du","r. du prévôt — r. des espagnols. (",7,1,62
203,"kapellestr.","Chapelle, r. de la","r. du hareng-pec — r.",,,
204,,"Ste Agnès.",,2,2,68
205,"kapellestr.","Chapelle, r. de la","r. des sentiers — r. de l’église. Gendbrugge.",,,83
206,"kapelstr.","Chapelle, r. de la","r. de Gontrode — r. du maure (Ledeberg).",,,113
207,"Karel de Kerchoveboulevard","Charles de Kerchove, boulevard","chaussée de Courtrai — porte de la Colline.","5|5",2," 87-98"
208,"keizerkarelstr.","Charles-Quint, r.","pont neuf — place Van Artevelde. (",4,1," 61-71"
209,"Karel de Stoutestr.","Char es le Téméraire, r.","r. Marie de Bourgogne — q. de Terplaeten. (",4,1,100
210,"Karel-Lodewijk Diericxstr.","Charles-Louis Diericx, r.","— rue d'Akkergem — rue de la flèche ",11,2,56
211,"Karel-Theodoorstr.","Charles-Théodore, r.","r. de la forge — r. des prairies. (",9,2,96
212,"karrenstr.","Charrettes, r. des","r. d'Ypres — r. du chaume. (",2,2,68
213,"ploegstr.","Charrue, r. de la","ch. de Meulestede, entre les nos 162 et 164 chemin de fer. (",8,1,11
214,"ploegstr.","Charrue, r. de la","r. des remparts — r. de Gontrode.",,,
215,,"Gendbrugge. 113",,,,
216,"chartreuzenlaan","Chartreux, b. des","pl. des chartreux — b. du grand marais. (",3,3," 30-40"
217,"Chartreuzenplaats","Chartreux, pl. des","entre le boul. des Chartreux, quai des tuileries et rue des filles Dieu (",3,3,39
218,"kasteellaan","Château, boul. du","boul. Lousbergs — quai de l'école. (",7,1," 52-72"
219,"kasteelkaai","Château, quai du","q. de la tour rouge — dock. (",7,1," 51 52"
220,"kasteelstr.","Château, r. du","r. d'Anvers — q. du château. (",7,1,51
221,"kasteelstr.","Château, r. du","r. des sentiers — Melle.",,,
222,"ketelplein","Gendbrugge. Chaudronniers, plaine des","commencement de la r. basse des champs — la Lys. (",5,2,69
223,"ketelpleinstraat","Chaudronniers, r. de la plaine des","plaine des chaudronniers — rlle de la Lys. (",5,2,69
224,"ketelvest","Chaudronniers, remp. des","r. basse des champs — r. du pont Madou. (",5,2," 69-70"
225,"stoppelstr.","Chaume, r. du","r. des annonciades — r. de Waerschoot. (",2,2,68
226,"ijzerenweglaan","Chemin de fer, boul. du","r. de belle vue — pont du Strop (Ledeberg). ",,,"100-101"
227,"spoorweglaan","Chemin de fer, boul. du","rue d'argile — rue de l’église (Gendbrugge). ",,,"83 96"
228,"eikhoutstr.","Chênaie, r. de la","place Van Duyse — boul. Charles de Kerckhove. (",5,2,88
229,"paardestr.","Cheval, r. du","r. du mouton — r. des ruines. (",7,1,62
230,"ridderstr.","Chevaliers, r. des","r. de la frise — r. du miroir. (",1,1," 50-60"
231,"geitestr.","Chèvre, r. de la","ch. de Tronchiennes — r. de l'arbre. (",6,3,45
232,"koolsteeg","Choux, r. aux","r. de Bruges — place Ste Elisabeth. (",2,3,48
233,"chrysanthemumstr.","Chrysanthème, r. du","avenue Ryhove — r. du maïs. ",10,3,17
234,"kerkhofstr.","Cimetière, r. du","dans la r. de l'église ",10,3,36
235,"vijfwindgatstr.","Cinq vannes, r. des","r. l. des violettes boul. Frère-Orban. (",4,1," 80 81"
236,"wasstr.","Cire, r. de la","r. de l’abeille — r. d'Oostacker. (",7,1,53
237,"citadellaan","Citadelle, boul. de la","r. de la Colline pont de Terplaeten.","5|5",2,99
238,"citroenstr.","Citron, r. du","r. de la glacière — r. De Smet. ",10,3,36
239,"Clementinalaan","Clémentine, av.","ch. de Courtrai — pl. Marie-Henriette. (",9,2," 96 97"
240,"klokstr.","Cloche, r. de la","boul. du gazomètre — r. de la glacière.",10,3,26
241,"klokstr.","Cloche, r. de la","place de l'église — arrièrepré.",,,
242,"verkensstr.","Gendbrugge. Cochons, r. des","r. de la plume — r. c. d'argent. (",2,3," 38-48"
243,"heuvelstr.","Colline, r. de la","pl. St Pierre — boul. de la citadelle. (",5,2," 88-99"
244,"Colpaertsteeg","Colpaert, impasse","coupure, r. g.",11,2,56
245,"koophandelplaats","Commerce, place du","r. des champs et pont des récollets — pont des chaudronniers. (",1,2,68
246,"eedverbondstr.","Compromis, r. du","aven. de l'Yser — r. de la prairie. (",9,2,87
247,"eedverbondkaai","Compromis, q. du","aven. de l'Yser — le long de la Lys. (",9,2," 86 87"
248,"Graaf van Vlaanderenplaats","Comte de Flandre, place du","Place Wilson — boulevard Frère-Orban. (",4,1," 71 80"
249,"Graaf de Smet de Naeyerplaats","Comte de Smet de Naeyer, place","avenue de la Liberté — avenue des Eperons d'or. (",9,2,107
250,"eendrachtstr.","Concorde, r. de la","boul. du château boulev. de l’Escaut. (",7,1," 72-82"
251,"eendrachtstr.","Concorde, r. de la","r. de la paix — r. de l’institut. (Gendbrugge). ",,,83
252,"conduitsteeg","Conduit, r. du","r. courte du marais — r. des champs. (",1,2,69
253,"gildestr.","Confrérie, r. de la","r. neuve St Jacques — mar. aux veaux. (",1,1," 50-51"
254,"Congostr.","Congo, r. du","digue des blanchisseurs — r. de Boma. (",8,1," 40-41"
255,"Congresstr.","Congrès, r. du","aven, militaire — pl. de la constitution. (",9,2,107
256,,"Conscience, r.","Voir Henri Conscience, r.",,,
257,"Grondwetplaats","Constitution, pl. de la","av. de la liberté — av. des éperons d'or. (",9,2,107
258,"grondwetdreef","Constitution, avenue de la","chaussée d'Anvers — rue de Gand (Mont-St Amand) ",,,34
259,"contributiestr.","Contribution, r. de la","r. de la porte de Bruges — fin coupure (r. droite). (",2,2,46
260,"haanstr.","Coq, r. du","ch. de Meulestede, entre les nos 258 et 260 — r. du paon. (",8,1,11
261,"ravenstr.","Corbeau, r. du","r. des champs — la Lys. (",1,2,59
262,"corianderstr.","Coriandre, r. de la","r. du pont Madou — grand toquet. (",5,2,70
263,"hoornstr.","Corne, r. de la","r. des champs — pont des dominicains. (",1,2,59
264,"kraaistr.","Corneille, r. de la","r. du sable — ch. de Zwynaerde. (",9,2,98
265,"posthoornstr.","Cornet de poste, r. du","Pl. Emile Braun — r. des foulons. (",1,2,59
